County,Year,Month,Average Count
Barnstable,2017,6,N/A
Barnstable,2017,7,69847.2
Barnstable,2017,8,65894.1
Barnstable,2017,9,59394
Barnstable,2017,10,N/A
Barnstable,2017,11,N/A
Barnstable,2017,12,N/A
Barnstable,2018,1,N/A
Barnstable,2018,2,N/A
Barnstable,2018,3,N/A
Barnstable,2018,4,N/A
Barnstable,2018,5,N/A
Barnstable,2018,6,N/A
Barnstable,2018,7,N/A
Barnstable,2018,8,N/A
Barnstable,2018,9,N/A
Barnstable,2018,10,N/A
Barnstable,2018,11,N/A
Barnstable,2018,12,N/A
Barnstable,2019,1,N/A
Barnstable,2019,2,N/A
Barnstable,2019,3,N/A
Barnstable,2019,4,N/A
Barnstable,2019,5,N/A
Barnstable,2019,6,N/A
Barnstable,2019,7,N/A
Barnstable,2019,8,N/A
Barnstable,2019,9,N/A
Barnstable,2019,10,N/A
Barnstable,2019,11,N/A
Barnstable,2019,12,N/A
Barnstable,2020,1,N/A
Barnstable,2020,2,N/A
Barnstable,2020,3,N/A
Barnstable,2020,4,N/A
Barnstable,2020,5,N/A
Barnstable,2020,6,N/A
Barnstable,2020,7,N/A
Barnstable,2020,8,N/A
Barnstable,2020,9,N/A
Barnstable,2020,10,N/A
Barnstable,2020,11,N/A
Barnstable,2020,12,N/A
Barnstable,2021,1,N/A
Barnstable,2021,2,N/A
Barnstable,2021,3,N/A
Barnstable,2021,4,N/A
Barnstable,2021,5,N/A
Barnstable,2021,6,N/A
Barnstable,2021,7,N/A
Barnstable,2021,8,N/A
Barnstable,2021,9,N/A
Barnstable,2021,10,N/A
Barnstable,2021,11,N/A
Barnstable,2021,12,N/A
Barnstable,2022,1,N/A
Barnstable,2022,2,N/A
Barnstable,2022,3,N/A
Barnstable,2022,4,N/A
Barnstable,2022,5,N/A
Barnstable,2022,6,N/A
Berkshire,2017,6,18749.2
Berkshire,2017,7,18576.2
Berkshire,2017,8,18576.2
Berkshire,2017,9,17840.5
Berkshire,2017,10,17821
Berkshire,2017,11,17545.6
Berkshire,2017,12,18230.6
Berkshire,2018,1,15540.2
Berkshire,2018,2,15940
Berkshire,2018,3,16089.4
Berkshire,2018,4,16577.4
Berkshire,2018,5,18260
Berkshire,2018,6,18449.5
Berkshire,2018,7,17911.1
Berkshire,2018,8,17035.4
Berkshire,2018,9,17308.2
Berkshire,2018,10,17035.4
Berkshire,2018,11,16289.7
Berkshire,2018,12,16894.6
Berkshire,2019,1,14427.3
Berkshire,2019,2,15430.1
Berkshire,2019,3,16056.7
Berkshire,2019,4,16748.5
Berkshire,2019,5,17606.9
Berkshire,2019,6,18045
Berkshire,2019,7,17676.4
Berkshire,2019,8,17658
Berkshire,2019,9,16779.6
Berkshire,2019,10,16471.6
Berkshire,2019,11,15156.6
Berkshire,2019,12,15517.6
Berkshire,2020,1,15100.8
Berkshire,2020,2,15179.1
Berkshire,2020,3,13085.9
Berkshire,2020,4,10908.9
Berkshire,2020,5,13908.8
Berkshire,2020,6,15656.2
Berkshire,2020,7,16200.4
Berkshire,2020,8,16283.2
Berkshire,2020,9,16336.9
Berkshire,2020,10,16185.2
Berkshire,2020,11,14540.8
Berkshire,2020,12,14638.1
Berkshire,2021,1,13179.6
Berkshire,2021,2,13303.5
Berkshire,2021,3,15265.7
Berkshire,2021,4,15615
Berkshire,2021,5,16567.1
Berkshire,2021,6,17230.9
Berkshire,2021,7,16936.3
Berkshire,2021,8,16748.2
Berkshire,2021,9,16675.8
Berkshire,2021,10,16720.8
Berkshire,2021,11,15736.9
Berkshire,2021,12,16148.5
Berkshire,2022,1,13288.9
Berkshire,2022,2,14287.2
