Report Year,Date,Month,Day,Hour,Minute,AM/PM,Time,Nearest Station,Subdivision,County Name,State Name,Highway Name,Public/Private Code,Public/Private,Highway User,Estimated Vehicle Speed,Vehicle Direction,Highway User Position,Equipment Involved,Equipment Struck,Temperature,Visibility,Weather Condition,Number of Locomotive Units,Number of Cars,Train Speed,Estimated/Recorded Speed,Train Direction,Crossing Warning Expanded 1,Crossing Warning Expanded 2,Crossing Warning Expanded 3,Crossing Warning Expanded 4,Crossing Warning Expanded 5,Crossing Warning Expanded 6,Crossing Warning Expanded 7,Crossing Warning Expanded 8,Crossing Warning Expanded 9,Crossing Warning Expanded 10,Crossing Warning Expanded 11,Crossing Warning Expanded 12,Signaled Crossing Warning Code,Signaled Crossing Warning,Roadway Condition,Crossing Warning Location,Warning Connected To Signal,Crossing Illuminated,User Age,User Gender,User Struck By Second Train,Highway User Action,View Obstruction,Driver Condition,Driver In Vehicle,Crossing Users Killed For Reporting Railroad,Crossing Users Injured For Reporting Railroad,Vehicle Damage Cost,Employees Killed For Reporting Railroad,Employees Injured For Reporting Railroad,Passengers Killed For Reporting Railroad,Passengers Injured For Reporting Railroad,Narrative
1986,06/30/1986,06,30,10,28,AM,10:28:00,WARREN,NA,WORCESTER,MASSACHUSETTS,PRIVATE,N,Private,Auto,0,South,Stopped on crossing,Train (units pulling),Rail equipment struck highway user,80,Day,Clear,1,4,40,E,West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,No,NA,NA,No,Stopped on crossing,Not obstructed,Uninjured,Yes,0,0,0,0,0,0,0,NoneNoneNoneNoneNone
1986,11/25/1986,11,25,05,30,PM,17:30:00,NORWOOD,NA,NORFOLK,MASSACHUSETTS,PLEASANT ST XING,Y,Public,Auto,15,South,Moving over crossing,Train (units pulling),Rail equipment struck highway user,40,Dark,Clear,1,3,15,E,South,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,Yes,NA,NA,No,Other,Not obstructed,Injured,Yes,0,1,0,0,0,0,0,NoneNoneNoneNoneNone
1986,11/21/1986,11,21,05,15,AM,05:15:00,READVILLE,NA,NORFOLK,MASSACHUSETTS,RTE 128 INDUSTRIAL,Y,Public,Truck-trailer,10,South,Moving over crossing,Light loco(s) (moving),Rail equipment struck highway user,40,Dark,Clear,1,0,10,E,East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,No,NA,NA,No,Did not stop,Not obstructed,Uninjured,Yes,0,0,0,0,0,0,0,NoneNoneNoneNoneNone
1986,11/21/1986,11,21,02,26,AM,02:26:00,PALMER,NA,HAMPDEN,MASSACHUSETTS,PRIVATE,N,Private,Auto,0,South,Stalled or stuck on crossing,Train (units pulling),Rail equipment struck highway user,30,Dark,Clear,3,45,30,E,East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,No,NA,NA,No,Stopped on crossing,Not obstructed,Uninjured,No,0,0,0,0,0,0,0,NoneNoneNoneNoneNone
1986,11/11/1986,11,11,05,15,PM,17:15:00,WILLIAMSETT,NA,HAMPDEN,MASSACHUSETTS,MEMORIAL DR,Y,Public,Auto,NA,South,Moving over crossing,Train (units pulling),Rail equipment struck by highway user,30,Dark,Clear,1,6,3,E,West,Standard FLS,Crossbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flagged by crew,1,Provided minimum 20-second warning,NA,Both sides,No,Yes,NA,NA,No,Did not stop,Highway vehicles,Injured,Yes,0,2,500,0,0,0,0,NoneNoneNoneNoneNone
1986,12/18/1986,12,18,11,45,PM,23:45:00,LAWRENCE,NA,ESSEX,MASSACHUSETTS,ESSEX ST,Y,Public,Auto,15,South,Moving over crossing,Train (units pulling),Rail equipment struck by highway user,33,Dark,Rain,1,6,3,E,East,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Did not stop,Not obstructed,Uninjured,Yes,0,0,500,0,0,0,0,NoneNoneNoneNoneNone
1986,12/04/1986,12,04,11,08,AM,11:08:00,BEVERLY,NA,ESSEX,MASSACHUSETTS,CABOT ST,Y,Public,Auto,0,West,Stalled or stuck on crossing,Train (units pulling),Rail equipment struck highway user,50,Day,Clear,1,3,35,E,North,Gates,Standard FLS,Audible,Crossbucks,NA,NA,NA,NA,NA,NA,NA,Watchman,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Stopped on crossing,Not obstructed,Uninjured,No,0,0,300,0,0,0,0,NoneNoneNoneNoneNone
1986,03/04/1986,03,04,09,11,AM,09:11:00,CHESTER,NA,HAMPDEN,MASSACHUSETTS,STRATHMORE PAPER XIN,Y,Public,Truck-trailer,0,North,Stopped on crossing,Train (units pulling),Rail equipment struck highway user,38,Day,Clear,3,76,30,E,West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,No,NA,NA,No,Stopped on crossing,Not obstructed,Uninjured,No,0,0,0,0,0,0,0,NoneNoneNoneNoneNone
1986,11/20/1986,11,20,01,58,PM,13:58:00,REVERE,NA,SUFFOLK,MASSACHUSETTS,OAK ISLAND RD,Y,Public,Auto,0,East,Stopped on crossing,Train (units pushing),Rail equipment struck highway user,35,Day,Cloudy,1,4,60,E,West,Gates,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Stopped on crossing,Not obstructed,Injured,Yes,0,1,10000,0,0,0,0,NoneNoneNoneNoneNone
1986,09/29/1986,09,29,06,33,AM,06:33:00,FRAMINGHAM,NA,MIDDLESEX,MASSACHUSETTS,WAVERLY ST CROSSING,Y,Public,Auto,30,East,Moving over crossing,Train (units pulling),Rail equipment struck highway user,70,Dawn,Clear,4,4,20,E,North,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,Yes,NA,NA,No,Did not stop,Not obstructed,Uninjured,Yes,0,0,0,0,0,0,0,NoneNoneNoneNoneNone
1986,09/22/1986,09,22,08,45,PM,20:45:00,WALTHAM,NA,MIDDLESEX,MASSACHUSETTS,PRIVATE CROSSING,N,Private,Auto,10,West,Moving over crossing,Train (units pushing),Rail equipment struck by highway user,55,Dark,Rain,1,9,2,E,West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Audible,1,Provided minimum 20-second warning,NA,Opposite side of vehicle approach,No,No,NA,NA,No,Did not stop,Not obstructed,Uninjured,Yes,0,0,500,0,0,0,0,NoneNoneNoneNoneNone
1986,08/21/1986,08,21,02,50,PM,14:50:00,LOWELL,NA,MIDDLESEX,MASSACHUSETTS,MEADOWCROFT ST,Y,Public,Pedestrian,NA,South,Moving over crossing,Train (units pushing),Rail equipment struck by highway user,75,Day,Clear,4,73,5,E,West,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,NA,NA,Not obstructed,NA,NA,0,1,0,0,0,0,0,NoneNoneNoneNoneNone
1986,09/13/1986,09,13,05,58,PM,17:58:00,FRAMINGHAM,NA,MIDDLESEX,MASSACHUSETTS,CHERRY ST,Y,Public,Pedestrian,NA,West,Moving over crossing,Train (units pulling),Rail equipment struck highway user,70,Day,Clear,1,6,60,E,West,Gates,Standard FLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,Audible,1,Provided minimum 20-second warning,NA,Both sides,Unknown,Yes,NA,NA,NA,NA,Passing train,NA,NA,1,0,0,0,0,0,0,NoneNoneNoneNoneNone
1986,08/05/1986,08,05,07,40,AM,07:40:00,READING,NA,MIDDLESEX,MASSACHUSETTS,ASH STREET,Y,Public,Auto,20,West,Moving over crossing,Train (units pulling),Rail equipment struck highway user,70,Day,Clear,1,4,15,E,West,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Did not stop,Not obstructed,Uninjured,Yes,0,0,750,0,0,0,0,NoneNoneNoneNoneNone
1986,08/29/1986,08,29,11,35,AM,11:35:00,SPRINGFIELD,NA,HAMPDEN,MASSACHUSETTS,STATE STREET,Y,Public,Auto,10,East,Moving over crossing,Train (units pulling),Rail equipment struck highway user,67,Day,Clear,1,4,3,E,South,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Did not stop,Not obstructed,Uninjured,Yes,0,0,1500,0,0,0,0,NoneNoneNoneNoneNone
1986,04/15/1986,04,15,08,10,PM,20:10:00,FRAMINGHAM,NA,MIDDLESEX,MASSACHUSETTS,LELAND ST,Y,Public,Auto,NA,East,Moving over crossing,Train (units pulling),Rail equipment struck by highway user,50,Dark,Clear,1,23,12,E,North,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,Unknown,NA,NA,No,Did not stop,Not obstructed,Uninjured,Yes,0,0,0,0,0,0,0,NoneNoneNoneNoneNone
1986,03/03/1986,03,03,06,10,PM,18:10:00,CHESTER,NA,HAMPDEN,MASSACHUSETTS,CARRINGTON'S FARM,Y,Public,Auto,NA,North,Moving over crossing,Train (units pulling),Rail equipment struck highway user,28,Dusk,Clear,3,74,38,E,East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,Unknown,NA,NA,No,Did not stop,Not obstructed,Injured,Yes,0,1,0,0,0,0,0,NoneNoneNoneNoneNone
1986,05/25/1986,05,25,04,55,PM,16:55:00,EAST PORTAL,NA,FRANKLIN,MASSACHUSETTS,RIVER ROAD,Y,Public,Auto,0,South,Stopped on crossing,Train (units pulling),Rail equipment struck highway user,70,Day,Clear,4,65,30,E,East,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Stopped on crossing,Not obstructed,Uninjured,No,0,0,1000,0,0,0,0,NoneNoneNoneNoneNone
1986,03/11/1986,03,11,08,41,PM,20:41:00,READING,NA,MIDDLESEX,MASSACHUSETTS,ASH ST,Y,Public,Auto,10,South,Moving over crossing,Train (units pulling),Rail equipment struck highway user,45,Dark,Clear,1,3,10,E,East,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Did not stop,Not obstructed,Injured,Yes,0,1,2000,0,0,0,0,NoneNoneNoneNoneNone
1986,01/03/1986,01,03,04,05,PM,16:05:00,READING,NA,MIDDLESEX,MASSACHUSETTS,ASH ST,Y,Public,Auto,0,East,Stopped on crossing,Train (units pulling),Rail equipment struck highway user,38,Dusk,Rain,1,3,15,E,West,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Other,Not obstructed,Uninjured,Yes,0,0,100,0,0,0,0,NoneNoneNoneNoneNone
1986,01/08/1986,01,08,04,59,PM,16:59:00,GARDNER,NA,WORCESTER,MASSACHUSETTS,MAIN ST,Y,Public,Auto,20,East,Moving over crossing,Train (units pulling),Rail equipment struck highway user,22,Dark,Clear,1,9,1,E,West,Crossbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flagged by crew,NA,NA,NA,Both sides,No,No,NA,NA,No,Did not stop,Standing railroad equipment,Uninjured,Yes,0,0,3000,0,0,0,0,NoneNoneNoneNoneNone
1986,03/10/1986,03,10,03,40,PM,15:40:00,STOCKBRIDGE,NA,BERKSHIRE,MASSACHUSETTS,GLENDALE MIDDLE RD,Y,Public,Auto,15,East,Moving over crossing,Train (units pulling),Rail equipment struck highway user,40,Day,Cloudy,1,3,10,E,South,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Did not stop,Not obstructed,Uninjured,Yes,0,0,600,0,0,0,0,NoneNoneNoneNoneNone
1986,07/08/1986,07,08,08,26,AM,08:26:00,CANTON CENTER,NA,NORFOLK,MASSACHUSETTS,WILL DR,Y,Public,Truck-trailer,15,West,Moving over crossing,Train (units pushing),Rail equipment struck highway user,80,Day,Clear,1,6,30,E,North,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Did not stop,Not obstructed,Injured,Yes,0,0,7500,0,1,0,3,NoneNoneNoneNoneNone
1986,07/08/1986,07,08,12,10,PM,12:10:00,SOUTH ACTON,NA,MIDDLESEX,MASSACHUSETTS,PARKER ST,Y,Public,Motorcycle,25,South,Moving over crossing,Train (units pushing),Rail equipment struck highway user,80,Day,Clear,1,3,30,E,West,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,Yes,Did not stop,Standing railroad equipment,Uninjured,Yes,0,0,100,0,0,0,0,NoneNoneNoneNoneNone
1986,02/24/1986,02,24,04,30,PM,16:30:00,HOLYOKE,NA,HAMPDEN,MASSACHUSETTS,PRIVATE CROSSING,N,Private,Auto,2,West,Moving over crossing,Train (units pushing),Rail equipment struck highway user,30,Dusk,Cloudy,1,14,2,E,West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flagged by crew,NA,NA,NA,NA,NA,No,NA,NA,No,Did not stop,Permanent structure,Uninjured,Yes,0,0,300,0,0,0,0,NoneNoneNoneNoneNone
